"","mou_Mean","totmrc_Mean","change_mou","drop_blk_Mean","owylis_vce_Range","mou_opkv_Range","months","totcalls","eqpdays","iwylis_vce_Mean","adjqty","ovrrev_Mean","rev_Mean","comp_vce_Mean","plcd_vce_Mean","avg3mou","avgmou","avg3qty","avgqty","avg6mou","avg6qty","crclscod","asl_flag","prizm_social_one","area","refurb_new","hnd_webcap","marital","ethnic","models","hnd_price","actvsubs","uniqsubs","churn","csa","drop_vce_Mean","adjmou","totrev","adjrev","avgrev","Customer_ID","retdays_dummy","compl_vce_percentage","age1_dummy","optimum","asl_flag_Y","prizm_social_one_R","prizm_social_one_T","area_DC_MARYLAND_VIRGINIA","area_MIDWEST","area_NORTHWEST_ROCKYMOUNTAIN","area_OHIO","area_SOUTH_FLORIDA","area_TENNESSEE","refurb_new_R","marital_S","ethnic_C","ethnic_N","ethnic_P","ethnic_S","ethnic_U","ethnic_Z","models_2","models_3","models_4","models_5","models_8","hnd_price129.9899902","hnd_price199.9899902","hnd_price249.9899902","hnd_price299.9899902","uniqsubs_2","uniqsubs_3","uniqsubs_4","uniqsubs_5","uniqsubs_6","uniqsubs_9","age1_dummy_Young","result","mou_Mean_catg","prob"
"56032",2113.75,32.9925,-18.75,21.66666667,6,179.68,9,4477,262,37.66666667,4421,259.85,299.505,411.3333333,515,2120,1506.14,858,631.57,1726,721,"BA","N","C","MIDWEST AREA","N","WC","S","N","1","29.98999023","4","4",0,"MINSTP612",8.333333333,10543,1267.14,1217.78,173.97,1083256,"0",0.798705501553398,"Senior",0.205068106128762,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Very High",0.281679378130978
"56609",2650,44.99,-320,14.33333333,3,319.08,7,1457,198,2,1454,402.51,434.335,269,387.3333333,2757,2362,361,290.8,1688.485,610.5087,"BA","N","T","LOS ANGELES AREA","N","WCMB","U","S","1","129.9899902","1","1",0,"LAXVIC760",12.66666667,11810,1771.46,1705.85,341.17,1084279,"0",0.694492254792986,"None",0.227219355785623,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Very High",0.395795228496591
"57358",1685.75,47.49,707.25,19.66666667,11,1056.27,8,1059,253,8.333333333,1059,246.235,284.4425,174.6666667,236.3333333,1450,820.14,252,151.29,823,154,"BA","N","T","SOUTHWEST AREA","N","WCMB","S","M","1","129.9899902","1","1",0,"NMXELP915",14.33333333,5741,939.85,874.24,124.89,1085624,"0",0.739069111669826,"Senior",0.261993935202426,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Very High",0.429733678892848
"59401",1086.25,10,402.75,11.33333333,52,15.54,7,2213,222,8,2209,63.4925,94.895,372,477.3333333,952,819.5,423,368.17,820,368,"BA","N","C","CENTRAL/SOUTH TEXAS AREA","N","WCMB","S","N","1","99.98999023","2","2",0,"SANAUS512",4.666666667,4917,247.96,202.39,33.73,1089327,"0",0.77932960899297,"Senior",0.256059445071786,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"High",0.379421921952848
"59803",1105,69.99,1984,12,205,1125.97,7,1072,52,31,1072,104.3,157.275,133,163.3333333,444,1066.5,103,178.67,1067,179,"BA","N","C","MIDWEST AREA","R","WCMB","U","I","2","99.98999023","1","1",0,"OMAOMA402",6.333333333,6399,443.96,358.08,59.68,1090038,"0",0.814285714451895,"None",0.23493107487161,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.427244077792626
"60762",225.75,10,406.25,3.333333333,34,54.74,9,363,245,7,355,59.5,73.5,60,89,90,122.86,45,50.71,100,47,"AA","N","C","NORTH FLORIDA AREA","N","WCMB","U","U","1","149.9899902","2","2",0,"MIAFTM941",1.333333333,860,258.12,212.95,30.42,1091781,"0",0.674157303370786,"None",0.230512939717961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.469889144925053
"61523",1742.75,59.99,1334.25,9.666666667,73,571.24,6,2713,186,73.66666667,2708,148.7,204.9175,427,587.6666667,1298,1319.8,523,541.6,1688.485,610.5087,"AA","N","C","CALIFORNIA NORTH AREA","N","WCMB","U","U","1","129.9899902","1","1",0,"SFROAK510",9.333333333,6599,609.72,523.84,104.77,1092909,"0",0.726602382261679,"Senior",0.24388243784032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Very High",0.265049223812597
"61535",2217.75,44.0225,-381.75,65.66666667,117,188.01,6,4376,185,111.3333333,4376,250.895,287.9125,721.3333333,1010.333333,2345,1941.4,1068,875.2,1688.485,610.5087,"EM","N","T","NORTH FLORIDA AREA","N","WCMB","U","U","1","149.9899902","1","1",0,"FLNTAL850",19.33333333,9707,1250.79,1084.12,216.82,1092927,"0",0.71395579037082,"None",0.200589227608152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Very High",0.359896698547672
"63531",1879.75,59.99,2104.25,17.66666667,18,92.3,8,3524,193,5,3511,198.1,255.3075,216,257,1178,1103.57,464,501.57,1156,518,"J","N","C","LOS ANGELES AREA","R","WCMB","S","M","2","79.98999023","4","5",0,"LAXSMN310",16.66666667,7725,918.04,843.43,120.49,1095793,"0",0.840466926070039,"Senior",0.215785804540107,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Very High",0.394299697189721
"63967",1395.75,56.4425,867.25,3.666666667,52,712.42,8,2102,213,22.66666667,2089,112.6,160.24,178,263.3333333,1107,1111.33,261,348.17,1111,348,"ZA","Y","C","SOUTHWEST AREA","N","WCMB","U","N","1","149.9899902","1","1",0,"NVUREN775",3.666666667,6668,467.71,374.73,62.46,1096428,"0",0.675949367174171,"None",0.240747471723931,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.258684649094043
"64763",2298.75,45.825,1591.25,10.33333333,125,449.43,6,1808,181,14.66666667,1806,176.8775,217.0775,348.3333333,518,1768,1512.4,386,361.2,1688.485,610.5087,"CA","Y","T","ATLANTIC SOUTH AREA","N","WCMB","U","N","1","99.98999023","1","1",0,"AIRBEA843",9,7562,570.64,491.66,98.33,1097623,"0",0.672458172393822,"None",0.30996337445675,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Very High",0.276386480473674
