"","mou_Mean","totmrc_Mean","change_mou","drop_blk_Mean","owylis_vce_Range","mou_opkv_Range","months","totcalls","eqpdays","iwylis_vce_Mean","adjqty","ovrrev_Mean","rev_Mean","comp_vce_Mean","plcd_vce_Mean","avg3mou","avgmou","avg3qty","avgqty","avg6mou","avg6qty","crclscod","asl_flag","prizm_social_one","area","refurb_new","hnd_webcap","marital","ethnic","models","hnd_price","actvsubs","uniqsubs","churn","csa","drop_vce_Mean","adjmou","totrev","adjrev","avgrev","Customer_ID","retdays_dummy","compl_vce_percentage","age1_dummy","optimum","asl_flag_Y","prizm_social_one_R","prizm_social_one_T","area_DC_MARYLAND_VIRGINIA","area_MIDWEST","area_NORTHWEST_ROCKYMOUNTAIN","area_OHIO","area_SOUTH_FLORIDA","area_TENNESSEE","refurb_new_R","marital_S","ethnic_C","ethnic_N","ethnic_P","ethnic_S","ethnic_U","ethnic_Z","models_2","models_3","models_4","models_5","models_8","hnd_price129.9899902","hnd_price199.9899902","hnd_price249.9899902","hnd_price299.9899902","uniqsubs_2","uniqsubs_3","uniqsubs_4","uniqsubs_5","uniqsubs_6","uniqsubs_9","age1_dummy_Young","result","mou_Mean_catg","prob","actvsubs_int"
"526",348,39.99,-286,2.666666667,27,76.15,11,927,317,0.333333333,917,16.8,54.6675,92.66666667,119.6666667,443,345.5,117,91.7,344,100,"BA","N","C","MIDWEST AREA","N","WCMB","U","U","1","59.98999023","1","1",1,"NORMAN507",2,3455,481.38,420.86,42.09,1080071,"0",0.774373258865077,"Young",0.0348996634675309,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Medium",0.27200805358393,2
"538",69,19.99,-50,0.333333333,1,1.4,11,163,315,0,159,19.2075,39.1975,21.66666667,28.33333333,86,49.5,24,15.9,55,17,"AA","N","T","OHIO AREA","N","WCMB","S","S","1","79.98999023","1","1",1,"OHIDAY937",0.333333333,495,365.75,315.41,31.54,1080581,"0",0.764705882560554,"Senior",0.0525153793574846,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.234859132547614,2
"542",84.75,19.99,-5.75,0.666666667,12,17.09,11,507,331,2.666666667,500,27.9,51.89,18.33333333,25.33333333,87,126.8,31,50,77,33,"AA","N","T","NORTH FLORIDA AREA","N","WCMB","U","N","1","149.9899902","1","1",1,"FLNCRY352",0.666666667,1268,556.96,476.98,47.7,1076456,"0",0.723684210489958,"None",0.050093363975869,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.298740261779806,2
"575",186.5,10,-39.5,10,12,70.97,12,765,73,2,765,0,7.67,61.33333333,87.66666667,200,165.73,78,69.55,179,69,"AA","N","C","HOUSTON AREA","R","WCMB","M","U","2","79.98999023","2","2",1,"HOUHOU281",5.666666667,1823,140.41,100.42,9.13,1064848,"0",0.699619771798494,"Senior",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.278690063321455,3
"577",626.5,44.99,-145.5,9.666666667,24,36.16,12,3579,231,20.66666667,3301,6.0375,33.765,155.3333333,186.6666667,675,928.09,235,300.09,696,255,"A","N","R","GREAT LAKES AREA","N","WCMB","S","I","2","149.9899902","2","2",1,"NNYBUF716",9.666666667,10209,922.04,834.59,75.87,1085204,"0",0.832142856815689,"Senior",0.0065479805648345,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"High",0.278298932815179,3
"578",428.5,39.99,-68.5,3.666666667,4,315.84,10,416,306,1,412,4.9875,35.5225,19.33333333,30,451,476.78,52,45.78,478,51,"AA","N","T","CENTRAL/SOUTH TEXAS AREA","N","WC","U","N","1","29.98999023","1","1",1,"SANSAN210",3,4291,414.88,294.91,32.77,1062435,"0",0.644444444333333,"Young",0.0120215483995372,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Medium",0.298943918619707,2
"648",445.25,39.99,86.75,22,16,122.4,10,1078,54,18,1073,27.3875,57.8725,84.33333333,120.6666667,416,340.89,135,119.22,392,137,"I","N","R","OHIO AREA","R","WCMB","M","U","2","99.98999023","1","1",1,"OHHCHI740",9,3068,464.2,404.22,44.91,1071362,"0",0.69889502740362,"Senior",0.0589993537268419,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.283017930078108,2
"668",1491.25,10,-34.25,34,18,194.54,10,5110,117,44.33333333,5077,63.375,77.8225,288,496,1503,1461.56,735,564.11,1705,704,"AA","N","C","NEW ENGLAND AREA","R","WC","U","J","1","9.989997864","2","4",1,"HARHAR860",29.66666667,13154,1002.17,975.84,108.43,1061795,"0",0.580645161290323,"None",0.0632377740303541,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"High",0.316518470379487,3
"761",552.75,44.99,318.25,5,10,114.62,11,1456,217,1.666666667,1456,2.1875,37.4975,131.3333333,161,447,520.2,142,145.6,540,164,"AA","N","T","LOS ANGELES AREA","R","WCMB","M","N","2","79.98999023","1","1",1,"LAXRIV909",4.666666667,5202,418.07,402.94,40.29,1080082,"0",0.815734989440994,"Senior",0.00523237735307484,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.245472265242599,2
"772",58.25,44.99,46.75,1,6,13.37,12,295,353,1.333333333,292,0,34.99,18.33333333,24.33333333,43,64.18,20,26.55,80,28,"AA","N","T","ATLANTIC SOUTH AREA","N","WCMB","U","N","1","79.98999023","2","2",1,"AIRGRE864",1,706,402.94,387.81,35.26,1086879,"0",0.753424657500469,"None",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.256166681606872,3
"820",1217.25,59.99,-164.25,16,7,141.49,11,2992,322,0,2992,79.725,127.91,156.3333333,226.3333333,1272,1153,279,299.2,1162,284,"EA","Y","C","HOUSTON AREA","N","WCMB","B","N","1","79.98999023","1","1",1,"HOUHOU281",14.33333333,11530,1076.86,996.88,99.69,1059676,"0",0.690721649438987,"Young",0.074034693460617,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"High",0.237973012385809,2
"825",315,41.98,-79,3,2,28.96,12,753,216,0,753,23.5375,56.035,73.33333333,92.33333333,341,162.73,123,68.45,236,89,"CA","N","T","SOUTH FLORIDA AREA","N","WCMB","U","N","2","199.9899902","1","1",1,"MIAPSL561",1.666666667,1790,540.91,478.94,43.54,1053596,"0",0.794223826707373,"Senior",0.0435146327485164,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Medium",0.267241942358414,2
"838",27.75,44.99,-8.75,1.666666667,8,15.72,11,169,311,0,166,0.0975,39.505,11.66666667,17.66666667,31,38.8,15,16.6,43,19,"AA","N","T","NORTH FLORIDA AREA","N","WCMB","U","U","1","149.9899902","1","1",1,"FLNLKW863",0.666666667,388,454.84,389.23,38.92,1082086,"0",0.660377358554646,"None",0.000214361094011081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.251017360991655,2
"863",31.75,59.99,-31.75,1.666666667,33,14.99,11,833,329,0.333333333,819,0,48.365,18,23.66666667,42,309.5,25,81.9,179,58,"AA","N","C","HOUSTON AREA","N","WCMB","U","N","1","149.9899902","1","2",1,"HOUSPR832",0,3095,565.23,515.24,51.52,1068673,"0",0.760563380174568,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.261421048819855,2
"867",60.75,29.99,48.25,1.666666667,9,14,11,1175,325,0,1175,12.4,32.39,19.66666667,34,45,279.1,25,117.5,114,49,"AA","N","C","NORTH FLORIDA AREA","R","WCMB","M","U","1","29.98999023","1","1",1,"FLNCLR813",1,2791,448.9,363.02,36.3,1089854,"0",0.578431372647059,"Senior",0.0276230786366674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.32288068702856,2
"903",815,77.7425,57,12.33333333,17,90.98,12,3300,360,39.66666667,3248,84.8125,194.845,122,171,796,679.73,320,295.27,784,321,"EA","N","C","SOUTH FLORIDA AREA","N","WCMB","U","H","1","129.9899902","2","3",1,"MIAMIA305",7,7477,1033.98,970.66,88.24,1053715,"0",0.713450292397661,"None",0.0820252809532099,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,"High",0.359844612913863,3
"921",409.75,39.99,-19.75,6,20,16.15,11,1886,326,12.66666667,1781,7.35,37.61,74,129.6666667,416,515.67,171,197.89,421,166,"BA","N","R","TENNESSEE AREA","R","WC","M","G","1","9.989997864","2","2",1,"NSHNSH615",3.666666667,4641,738.59,614.01,68.22,1058883,"0",0.570694087256891,"Senior",0.00995139387210766,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Medium",0.315099479522281,3
"947",364.25,49.99,23.75,2.666666667,16,102.28,11,1486,312,3.333333333,1486,1.925,42.73,93.66666667,117.3333333,356,443.6,115,148.6,459,148,"AA","N","T","ATLANTIC SOUTH AREA","N","WCMB","M","N","1","99.98999023","2","2",1,"AIRCOL803",2,4436,511.01,445.4,44.54,1082057,"0",0.798295454800652,"Senior",0.00376704956850159,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Medium",0.242178639133035,3
"968",325.75,44.99,0.25,3,20,56.1,11,1155,316,3.333333333,1153,0.2925,35.53,89.66666667,111.6666667,326,363.9,90,115.3,309,93,"AA","N","T","GREAT LAKES AREA","N","WCMB","U","N","1","99.98999023","2","2",1,"DETFER248",0.333333333,3639,489.34,423.33,42.33,1080473,"0",0.802985074417019,"None",0.000597743899946867,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Medium",0.239029971797233,3
"1001",68.5,29.99,-22.5,1.333333333,7,46.42,11,115,333,0.666666667,115,0.2625,30.4125,22.33333333,27,76,29.4,29,11.5,42,16,"AA","N","T","DALLAS AREA","N","WCMB","U","U","1","149.9899902","1","3",1,"DALKAU469",1.333333333,294,322.34,291.35,29.14,1068101,"0",0.827160493703704,"None",0.000814357510702984,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Low",0.261881829237749,2
"1023",681.75,39.99,87.25,13.33333333,29,234.74,12,1241,366,0,1170,77.0875,117.3125,117.6666667,148.6666667,653,367.64,177,106.36,451,131,"A","N","C","SOUTHWEST AREA","N","WCMB","M","N","1","59.98999023","2","2",1,"NEVSDG619",11.33333333,4044,746.12,646.99,58.82,1062837,"0",0.791479820674556,"Senior",0.103317830911918,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"High",0.349703602609304,3
"1067",1.5,29.99,-1.5,0,0,0,12,88,370,0,82,0,29.99,1.333333333,14,2,11.2,2,8.2,10,7,"A2","N","C","NEW YORK CITY AREA","N","WC","A","Z","1","29.98999023","1","1",1,"NYCNEW973",0,112,286.28,279.7,27.97,1062077,"0",0.0952380952142857,"Mid-Aged",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.247735932606167,2
"1087",271.25,39.99,-270.25,4.666666667,58,201.81,11,867,334,10.33333333,867,0,29.99,47.66666667,58.33333333,361,316.3,103,86.7,330,92,"A","N","T","ATLANTIC SOUTH AREA","N","WCMB","A","N","1","149.9899902","2","2",1,"AIRSUM803",3.333333333,3163,362.98,303,30.3,1075790,"0",0.817142857246694,"Young",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"Medium",0.330293005011699,3
"1094",335.25,29.99,285.75,1.333333333,24,104.14,12,1417,363,6.333333333,1410,22.4,53.725,72.66666667,93.33333333,240,264.64,121,128.18,279,134,"AA","N","C","NEW YORK CITY AREA","N","WCMB","U","H","1","199.9899902","1","1",1,"NYCPAS973",1.333333333,2911,484.27,424.29,38.57,1053268,"0",0.778571428634949,"Senior",0.0462551882214467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Medium",0.235547887937618,2
"1108",993,44.99,323,36.33333333,12,328.33,10,2500,159,5,2499,0.6125,36.945,260.6666667,396.6666667,885,867.33,317,277.67,807,267,"BA","N","T","NEW YORK CITY AREA","R","WCMB","U","O","1","99.98999023","1","1",1,"NYCNEW732",29.66666667,7806,549.17,469.19,52.13,1070516,"0",0.657142857171669,"None",0.00111531948212757,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.251665065880443,2
"1115",353.5,44.99,-149.5,4.666666667,11,99.68,11,495,306,2,494,0,34.99,46,63.33333333,403,298.89,86,54.89,290,64,"AA","N","T","NORTHWEST/ROCKY MOUNTAIN AREA","N","WCMB","S","M","1","149.9899902","1","1",1,"SEASAL503",4.666666667,2690,384.03,318.42,35.38,1084207,"0",0.726315789511911,"Senior",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.273398535488707,2
"1192",735.25,44.99,41.75,7.666666667,19,226.57,11,1921,320,21,1914,0,38.555,131.3333333,163,721,844.89,190,212.67,624,156,"AA","N","C","CHICAGO AREA","N","WCMB","B","O","1","59.98999023","1","1",1,"MILMAD608",7,7604,504.57,419.39,46.6,1060093,"0",0.805725971165644,"Young",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"High",0.247722536236932,2
"1223",197.75,43.7825,-131.75,4.333333333,3,15.17,12,1214,110,0,1183,1.925,49.4975,42.33333333,53,242,521.6,65,118.3,283,72,"AA","N","C","NEW ENGLAND AREA","R","WCMB","U","N","2","129.9899902","1","2",1,"BOSBOS508",3.666666667,5216,682.21,617.98,61.8,1054750,"0",0.798742138301887,"None",0.0028217117896249,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Low",0.25468962302339,2
"1271",671.25,54.99,188.75,6,21,169.4,11,2893,322,28.66666667,2845,28.7,75.305,145,619.6666667,608,835.89,277,316.11,686,277,"AA","N","C","CENTRAL/SOUTH TEXAS AREA","N","WCMB","B","H","1","199.9899902","1","1",1,"SANAUS512",4.333333333,7523,742.32,682.34,75.82,1069621,"0",0.233996772445724,"Young",0.0386625713977799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"High",0.320841089158231,2
"1298",231.75,59.99,95.25,2.666666667,47,32.53,12,637,350,0,635,0,52.015,70.66666667,93,200,121.82,86,57.73,167,71,"A","N","C","NEW YORK CITY AREA","N","WC","U","H","1","59.98999023","1","1",1,"NYCMAN917",2.666666667,1340,646.23,564.89,51.35,1087460,"0",0.759856630860215,"Senior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.242079307414231,2
"1303",920,39.99,291,34.33333333,4,115.7,10,1562,315,0,1557,68.12,100.8325,140,207,823,584.33,223,173,678,179,"BA","N","C","NEW ENGLAND AREA","N","WCMB","M","H","1","149.9899902","1","1",1,"BOSBOS508",34,5259,524.23,464.25,51.58,1070775,"0",0.676328502415459,"Senior",0.129942963966198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.373505524625623,2
"1342",266.5,44.3275,0.5,11.66666667,1,29.71,12,1781,99,0,1773,0.0975,34.425,100,147.3333333,266,278.36,147,161.18,285,152,"BA","N","C","SOUTH FLORIDA AREA","N","WCMB","B","H","2","129.9899902","1","1",1,"MIAMIA305",2.666666667,3062,542.17,459.45,41.77,1074305,"0",0.678733031827768,"Senior",0.000179832893741815,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.243162141886837,2
"1432",183,62.2475,-183,2,25,10.19,11,1844,289,1,1835,0.6,54.3625,27,40.33333333,244,474.9,107,183.5,448,181,"AA","N","C","OHIO AREA","R","WCMB","M","N","3","29.98999023","2","2",1,"INDIND317",1.666666667,4749,1287.06,1180.73,118.07,1078108,"0",0.66942148765863,"Senior",0.000466178732926204,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.328365803501917,3
"1548",383,44.99,-1,11.33333333,5,24.04,11,1724,202,1.333333333,1718,21.175,58.515,128.3333333,163.6666667,383,380.7,182,171.8,394,182,"AA","N","C","NORTHWEST/ROCKY MOUNTAIN AREA","R","WCMB","M","H","2","99.98999023","1","1",1,"DENDEN303",10.33333333,3807,644.19,578.18,57.82,1078062,"0",0.784114052589793,"Senior",0.0328707368943945,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.372694320315057,2
"1649",57,29.99,-37,1,2,67.83,12,223,359,1.666666667,223,1.4625,21.7725,14.66666667,18.66666667,69,65.27,18,20.27,62,18,"AA","N","T","NEW YORK CITY AREA","N","WCMB","U","N","2","59.98999023","1","1",1,"NYCPLA908",1,718,326.35,276.37,25.12,1063342,"0",0.785714285752551,"None",0.00448138501608702,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.284354950754606,2
