"dec","n","N","Churn_perc","GreaterThan","LessThan"
2,1631,6630,0.25,1.02,10.2
3,1679,6630,0.25,10.2,22.31
4,1583,6629,0.24,22.31,36.6
5,1573,6630,0.24,36.6,55.25
6,1494,6630,0.23,55.25,79.43
7,1516,6629,0.23,79.43,114.87
8,1486,6630,0.22,114.88,171.66
9,1417,6630,0.21,171.68,294.77
10,1518,6629,0.23,294.83,4783.67
1,1045,6630,0.16,6,8
2,961,6630,0.14,8,10
3,2761,6630,0.42,10,12
4,1808,6629,0.27,12,14
5,1176,6630,0.18,14,16
6,1700,6630,0.26,16,19
7,1899,6629,0.29,19,23
8,1413,6630,0.21,23,26
9,1764,6630,0.27,26,33
10,1332,6629,0.2,33,61
1,1419,6630,0.21,0,399
2,1448,6630,0.22,399,708
3,1533,6630,0.23,708,1018
4,1636,6629,0.25,1018,1372
5,1673,6630,0.25,1372,1796
6,1683,6630,0.25,1796,2327
7,1669,6629,0.25,2327,3039
8,1738,6630,0.26,3039,4132
9,1635,6630,0.25,4132,6339
10,1425,6629,0.21,6339,98874
1,1168,6630,0.18,-5,85
2,1341,6630,0.2,85,181
3,1049,6629,0.16,181,224
4,1042,6630,0.16,224,278
5,1662,6629,0.25,278,326
6,2137,6630,0.32,326,381
7,1776,6630,0.27,381,459
8,1809,6629,0.27,459,573
9,1847,6630,0.28,573,728
10,2028,6629,0.31,728,1823
NA,0,1,0,Inf,-Inf
1,5214,11050,0.47,0,0
2,921,11049,0.08,0,0.333333333
3,2488,11050,0.23,0.333333333,2
4,2507,11049,0.23,2,6
5,2433,11050,0.22,6,15
6,2296,11049,0.21,15,519.3333333
1,1418,6630,0.21,0,387
2,1455,6630,0.22,387,693
3,1548,6630,0.23,693,998
4,1619,6629,0.24,998,1346
5,1669,6630,0.25,1346,1767
6,1684,6630,0.25,1767,2292
7,1677,6629,0.25,2292,2993
8,1734,6630,0.26,2993,4072
9,1633,6630,0.25,4072,6262
10,1422,6629,0.21,6263,98705
1,1830,6612,0.28,-6.1675,26.235
2,1668,6612,0.25,26.235,31.1275
3,1599,6611,0.24,31.1275,35.305
4,1435,6612,0.22,35.305,40.385
5,1502,6611,0.23,40.385,48.61
6,1582,6612,0.24,48.6125,54.4325
7,1531,6612,0.23,54.435,63.78
8,1566,6611,0.24,63.78,79.235
9,1528,6612,0.23,79.23666667,103.99
10,1549,6611,0.23,103.9975,3843.2625
NA,69,181,0.38,Inf,-Inf
1,1961,6630,0.3,0,4
2,1783,6630,0.27,4,22
3,1604,6630,0.24,22,39.33333333
4,1591,6629,0.24,39.33333333,57.66666667
5,1585,6630,0.24,57.66666667,78.33333333
6,1555,6630,0.23,78.33333333,102.6666667
7,1526,6629,0.23,102.6666667,134
8,1448,6630,0.22,134,177.6666667
9,1469,6630,0.22,177.6666667,254.6666667
10,1337,6629,0.2,254.6666667,1894.333333
1,1948,6630,0.29,0,5.666666667
2,1762,6630,0.27,5.666666667,29.33333333
3,1591,6630,0.24,29.33333333,52
4,1583,6629,0.24,52,76.66666667
5,1573,6630,0.24,76.66666667,103.6666667
6,1581,6630,0.24,103.6666667,135.6666667
7,1518,6629,0.23,135.6666667,177.3333333
8,1504,6630,0.23,177.3333333,234.3333333
9,1437,6630,0.22,234.3333333,338.6666667
10,1362,6629,0.21,338.6666667,2289
1,2039,6630,0.31,0,54
2,1689,6630,0.25,54,123
3,1632,6630,0.25,123,196
4,1569,6629,0.24,196,276
5,1557,6630,0.23,276,368
6,1501,6630,0.23,368,482
7,1548,6629,0.23,482,630
8,1458,6630,0.22,630,849
9,1484,6630,0.22,849,1227
10,1382,6629,0.21,1227,7716
1,1620,6630,0.24,0,77.8
2,1648,6630,0.25,77.81,143.91
3,1601,6630,0.24,143.91,210.1
4,1657,6629,0.25,210.11,280.22
5,1586,6630,0.24,280.23,362.5
6,1627,6630,0.25,362.52,459.13
7,1627,6629,0.25,459.17,583.4
8,1522,6630,0.23,583.42,758.72
9,1536,6630,0.23,758.74,1068.17
10,1435,6629,0.22,1068.17,7040.13
1,2002,6630,0.3,0,21
2,1613,6630,0.24,21,45
3,1643,6630,0.25,45,70
4,1521,6629,0.23,70,97
5,1599,6630,0.24,97,128
6,1584,6630,0.24,128,165
7,1495,6629,0.23,165,213
8,1536,6630,0.23,213,283
9,1470,6630,0.22,283,409
10,1396,6629,0.21,409,3261
1,1519,6630,0.23,0,29.46
2,1643,6630,0.25,29.46,52.18
3,1613,6630,0.24,52.18,75.33
4,1652,6629,0.25,75.33,99.6
5,1659,6630,0.25,99.6,127.64
6,1644,6630,0.25,127.64,161
7,1594,6629,0.24,161,203.5
8,1551,6630,0.23,203.5,263.91
9,1574,6630,0.24,263.92,373.83
10,1410,6629,0.21,373.86,2708.29
1,1813,6425,0.28,0,64
2,1681,6424,0.26,64,132
3,1581,6424,0.25,133,204
4,1570,6424,0.24,204,282
5,1523,6424,0.24,282,371
6,1504,6424,0.23,371,479
7,1554,6424,0.24,479,618
8,1468,6424,0.23,618,826
9,1458,6424,0.23,826,1175
10,1348,6424,0.21,1175,7217
NA,359,2056,0.17,Inf,-Inf
1,1762,6425,0.27,0,24
2,1595,6424,0.25,24,48
3,1607,6424,0.25,48,73
4,1552,6424,0.24,73,99
5,1607,6424,0.25,99,129
6,1544,6424,0.24,129,165
7,1500,6424,0.23,165,211
8,1503,6424,0.23,211,278
9,1476,6424,0.23,278,397
10,1354,6424,0.21,397,2817
NA,359,2056,0.17,Inf,-Inf
1,4767,6567,0.73,9.989997864,29.98999023
2,1,6566,0,29.98999023,29.98999023
3,1554,6566,0.24,29.98999023,59.98999023
4,1583,6566,0.24,59.98999023,79.98999023
5,1163,6566,0.18,79.98999023,99.98999023
6,1955,6566,0.3,99.98999023,129.9899902
7,3224,6566,0.49,129.9899902,149.9899902
8,72,6566,0.01,149.9899902,149.9899902
9,1303,6566,0.2,149.9899902,199.9899902
10,137,6566,0.02,199.9899902,499.9899902
NA,100,636,0.16,Inf,-Inf
1,2665,6630,0.4,0,0
2,841,6630,0.13,0,0.666666667
3,1690,6630,0.25,0.666666667,1.333333333
4,1567,6629,0.24,1.333333333,2
5,1434,6630,0.22,2,3
6,1448,6630,0.22,3,4.333333333
7,1615,6629,0.24,4.333333333,6.333333333
8,1615,6630,0.24,6.333333333,9.333333333
9,1443,6630,0.22,9.333333333,15
10,1541,6629,0.23,15,221.6666667
1,1483,6630,0.22,0,1076
2,1463,6630,0.22,1076,1987
3,1582,6630,0.24,1987,2859
4,1572,6629,0.24,2859,3878
5,1666,6630,0.25,3878,5053
6,1692,6630,0.26,5053,6511
7,1673,6629,0.25,6512,8440
8,1679,6630,0.25,8441,11309
9,1621,6630,0.24,11309,16645
10,1428,6629,0.22,16646,232855.1
1,1246,6630,0.19,3.65,347.69
2,1369,6630,0.21,347.75,455.34
3,1543,6630,0.23,455.35,559.01
4,1667,6629,0.25,559.01,671.38
5,1700,6630,0.26,671.39,795.85
6,1764,6630,0.27,795.86,946.75
7,1703,6629,0.26,946.76,1141.48
8,1774,6630,0.27,1141.5,1427.15
9,1628,6630,0.25,1427.16,1942.16
10,1465,6629,0.22,1942.31,27321.5
1,1215,6630,0.18,2.4,282.45
2,1359,6630,0.2,282.46,389.1
3,1535,6630,0.23,389.15,490.39
4,1706,6629,0.26,490.44,605.8
5,1712,6630,0.26,605.8,728.19
6,1772,6630,0.27,728.28,876.5
7,1703,6629,0.26,876.61,1068.5
8,1779,6630,0.27,1068.59,1351.84
9,1614,6630,0.24,1351.84,1858.44
10,1464,6629,0.22,1858.56,27071.3
1,1686,6630,0.25,0.48,29.99
2,1551,6630,0.23,29.99,33.3
3,1493,6630,0.23,33.3,37.26
4,1577,6629,0.24,37.26,42.74
5,1684,6630,0.25,42.74,49.92
6,1569,6630,0.24,49.93,55.76
7,1661,6629,0.25,55.76,63.88
8,1608,6630,0.24,63.88,77.18
9,1523,6630,0.23,77.18,99.17
10,1507,6629,0.23,99.18,902.38
1,1701,6137,0.28,0,0.6280000000744
2,1487,6137,0.24,0.628005657619801,0.684418146153846
3,1483,6137,0.24,0.684426229577231,0.718390804655172
4,1358,6137,0.22,0.718390804655172,0.745059288587933
5,1391,6136,0.23,0.745098039117647,0.768595041413057
6,1403,6137,0.23,0.768595041481115,0.791139240725044
7,1393,6137,0.23,0.791139240725044,0.813531352970297
8,1364,6137,0.22,0.813537675478927,0.838304552721869
9,1389,6137,0.23,0.838323353303094,0.874074074
10,1430,6136,0.23,0.874074074111111,1
NA,1460,4929,0.3,Inf,-Inf
