"","mou_Mean","totmrc_Mean","change_mou","drop_blk_Mean","owylis_vce_Range","mou_opkv_Range","months","totcalls","eqpdays","iwylis_vce_Mean","adjqty","ovrrev_Mean","rev_Mean","comp_vce_Mean","plcd_vce_Mean","avg3mou","avgmou","avg3qty","avgqty","avg6mou","avg6qty","crclscod","asl_flag","prizm_social_one","area","refurb_new","hnd_webcap","marital","ethnic","models","hnd_price","actvsubs","uniqsubs","churn","csa","drop_vce_Mean","adjmou","totrev","adjrev","avgrev","Customer_ID","retdays_dummy","compl_vce_percentage","age1_dummy","optimum","asl_flag_Y","prizm_social_one_R","prizm_social_one_T","area_DC_MARYLAND_VIRGINIA","area_MIDWEST","area_NORTHWEST_ROCKYMOUNTAIN","area_OHIO","area_SOUTH_FLORIDA","area_TENNESSEE","refurb_new_R","marital_S","ethnic_C","ethnic_N","ethnic_P","ethnic_S","ethnic_U","ethnic_Z","models_2","models_3","models_4","models_5","models_8","hnd_price129.9899902","hnd_price199.9899902","hnd_price249.9899902","hnd_price299.9899902","uniqsubs_2","uniqsubs_3","uniqsubs_4","uniqsubs_5","uniqsubs_6","uniqsubs_9","age1_dummy_Young","result","mou_Mean_catg","prob","actvsubs_int"
"134",150,39.99,-99,5,8,23.08,13,797,381,4.666666667,705,0,30.1025,24.33333333,28.66666667,183,153.5,67,58.75,179,68,"A","N","C","ATLANTIC SOUTH AREA","R","WCMB","B","O","2","79.98999023","2","2",1,"ATLATL678",4.666666667,1842,467.11,367.47,30.62,1056241,"0",0.848837209087344,"Senior",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.354808726321648,3
"137",31.5,19.99,-16.5,0,0,0,34,324,1031,0,323,6.3375,26.5075,8.333333333,9,37,28.12,9,9.79,25,9,"A","N","C","CALIFORNIA NORTH AREA","N","WC","M","P","1","29.98999023","1","1",1,"SFROAK925",0,928,1063.09,1020.2,30.92,1004302,"1",0.925925925888889,"Mid-Aged",0.00596139555446858,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.359190874521774,2
"138",430.5,55.825,-159.5,20,28,140.7,14,1262,432,1,1186,0.0975,56.48,89.66666667,119.3333333,484,1008.27,112,107.82,669,108,"DA","N","C","GREAT LAKES AREA","N","WCMB","B","J","1","79.98999023","1","2",1,"PITCOR412",4.333333333,11091,1630.46,1555.46,141.41,1045541,"0",0.751396648282513,"Senior",5.97990751076383e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Medium",0.316941512001185,2
"171",214.25,29.99,-106.25,6.333333333,14,43.08,11,2244,338,0,2240,0,36.185,88.66666667,127.6666667,250,347.2,149,224,261,167,"ZA","N","C","NORTHWEST/ROCKY MOUNTAIN AREA","N","WC","U","U","1","29.98999023","1","1",1,"DENDEN303",5,3472,555.5,495.52,49.55,1056691,"0",0.694516971124147,"None",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.303164034594176,2
"188",39.33333333,29.99,-4.333333333,1.333333333,0,23.92,31,714,933,0,705,0,30.17,25.66666667,32.33333333,36,60.96,23,30.65,72,47,"CY","N","C","LOS ANGELES AREA","N","WC","U","D","1","29.98999023","1","1",1,"LAXLAX213",1.333333333,1402,767.26,737.27,32.06,1098920,"0",0.79381443317462,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.298216064627468,2
"192",149.25,39.99,-86.25,4.333333333,3,25.25,14,819,302,1,818,0,30.47,39.33333333,51,178,182.15,56,62.92,230,74,"AA","N","C","CHICAGO AREA","R","WCMB","M","U","2","29.98999023","2","2",1,"CHILAG630",2,2368,487.21,427.23,32.86,1063285,"0",0.77124183,"Senior",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.309724286816996,3
"196",362.25,44.99,-73.25,8.333333333,18,53.01,27,2582,814,7.666666667,2462,14.6,51.9025,105,176,387,204.8,143,98.48,333,131,"A","N","T","CENTRAL/SOUTH TEXAS AREA","R","WC","S","N","1","9.989997864","1","1",1,"SANAUS512",4,5120,1060.17,990.99,39.64,1012056,"0",0.596590909090909,"None",0.0137713762887084,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.325082062438546,2
"198",341.75,34.105,-52.75,3.333333333,4,30.86,21,1967,632,2,1967,27.7375,44.8675,56.33333333,81.66666667,359,497.6,91,98.35,521,104,"AA","N","C","CALIFORNIA NORTH AREA","N","WC","S","M","1","29.98999023","2","2",1,"SFRSCL408",2,9952,1255.17,1203.56,60.18,1036511,"0",0.689795918298376,"Senior",0.0220986001896157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Medium",0.319760704071451,3
"210",227,62.99,-36,2.666666667,8,70.46,24,2447,724,3,2380,0,66.9725,47.66666667,91.33333333,239,343.27,81,108.18,238,81,"AA","N","C","SOUTHWEST AREA","N","WC","B","H","1","29.98999023","1","1",1,"NEVLVS702",2.333333333,7552,1419.93,1347.93,61.27,1021397,"0",0.521897810274522,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.32899290440423,2
"225",203,51.98,-3,5.333333333,9,7.86,33,3280,998,0,3210,0,41.98,74,100.3333333,204,228.03,91,103.55,270,113,"A","N","C","SOUTH FLORIDA AREA","N","WC","M","N","1","29.98999023","1","1",1,"MIAMIA305",3,7069,1327.77,1288.76,41.57,1007162,"0",0.737541528484233,"Senior",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.336890931022395,2
"229",1448.5,59.99,20.5,14.33333333,65,931.69,19,4368,586,32.33333333,4352,58.95,102.99,330.3333333,399.6666667,1442,801.33,425,241.78,1179,358,"DA","N","C","NEW ENGLAND AREA","N","WCMB","B","U","1","79.98999023","1","1",1,"BOSBOS781",11,14424,1557.33,1505.72,83.65,1036514,"0",0.826522101599122,"Young",0.0378532488297278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"High",0.310680592505508,2
"255",46.75,29.99,-1.75,0,1,0.54,32,1844,955,0,1832,0,30.2375,14.66666667,16,47,147.94,19,59.1,92,44,"A","N","C","DALLAS AREA","N","WC","S","N","1","29.98999023","1","2",1,"OKCOKC405",0,4586,1334.29,1331.49,42.95,1013206,"1",0.916666666875,"Mid-Aged",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.409738905410914,2
"266",1364.75,53.6975,-240.75,38.33333333,81,727.64,10,3039,35,14.33333333,3029,76,124.7275,282.3333333,394.3333333,1445,873.78,443,336.56,1003,358,"B","N","C","DC/MARYLAND/VIRGINIA AREA","R","WCMB","B","S","3","129.9899902","2","2",1,"APCBAL410",33.66666667,7864,786.75,699.88,77.76,1088079,"1",0.715976331336938,"Senior",0.0965999364474102,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"High",0.513421971086605,3
"271",999.5,54.98,335.5,48.66666667,15,52.97,31,10207,519,40.33333333,9991,45.1875,102.2925,318.3333333,411.3333333,888,727.56,445,370.04,833,429,"B","N","C","PHILADELPHIA AREA","R","WCMB","U","S","4","29.98999023","1","4",1,"PHIARD610",44.66666667,19644,2016.3,1919.16,71.08,1011538,"0",0.773905996740187,"None",0.0224110995387591,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"High",0.366142353212126,2
"280",324.75,32.49,49.25,2,11,26.97,21,3787,483,7,3770,5.25,45.4775,136,159.6666667,308,295.9,190,188.5,302,188,"BA","N","C","CALIFORNIA NORTH AREA","R","WC","M","Z","2","9.989997864","2","2",1,"SFROAK510",2,5918,790.14,753.65,37.68,1037122,"1",0.851774530093575,"Senior",0.00664439213303971,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Medium",0.373927353525731,3
"316",400.25,169.98,368.75,5,5,35.97,20,1927,597,12.66666667,1927,0,151.48,85,102,277,426,86,101.42,449,117,"AA","N","T","NORTHWEST/ROCKY MOUNTAIN AREA","N","WCMB","U","N","1","149.9899902","2","2",1,"DENCOL719",3.333333333,8094,2934.07,2830.63,148.98,1039747,"0",0.833333333333333,"Young",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"Medium",0.30700961721015,3
"319",111,59.99,-111,1.666666667,7,50.19,36,13730,696,0.333333333,13335,0,51.97,23,30.33333333,148,702.89,74,493.89,149,98,"ZY","N","C","LOS ANGELES AREA","N","WCMB","U","U","2","79.98999023","1","1",1,"LAXCOV626",1.666666667,18978,2871.6,2818.6,104.39,1098672,"1",0.758241758325082,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.448216502688756,2
"359",78.25,29.99,-26.25,0.333333333,4,10.53,41,2563,1247,0,2529,0,40.14,12.66666667,15.66666667,87,89.2,43,63.23,111,70,"A","N","C","CALIFORNIA NORTH AREA","N","WC","M","F","1","29.98999023","1","1",1,"SFRSRO707",0,3568,1244.16,1191.78,29.79,1003322,"0",0.808510638338615,"Senior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.336680391751964,2
"372",254.75,43.1575,-75.75,9,18,46.69,31,1995,939,2.333333333,1968,11.9,95.8075,84.33333333,103,280,229.5,120,98.4,269,117,"A","N","C","NEW YORK CITY AREA","N","WC","U","H","1","29.98999023","3","3",1,"NYCBRO917",9,4590,1612.48,1530.15,76.51,1013784,"0",0.818770226504854,"Senior",0.00737993649533638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Medium",0.368758131224408,4
"408",1529.5,84.99,232.5,22.33333333,38,230.35,23,7202,690,1.666666667,7202,5.625,80.615,244,331.3333333,1452,1185.91,356,327.36,1591,390,"BA","N","C","NEW YORK CITY AREA","N","WC","U","U","1","29.98999023","2","2",1,"NYCBRO917",19.33333333,26090,2326.21,2271.22,103.24,1028150,"0",0.736418511140485,"Young",0.00241809638854618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"Very High",0.320445417574407,3
"412",1558.75,59.99,-612.75,55,71,585.75,13,5164,384,40.66666667,4913,7.1,44.5925,195,285.6666667,1763,1388.91,533,446.64,1704,529,"BA","N","C","CHICAGO AREA","N","WCMB","U","N","1","79.98999023","3","3",1,"MILRAC414",52.33333333,15278,773.68,668.1,60.74,1067440,"0",0.682613768881842,"Young",0.00917692069072485,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"Very High",0.35942780597794,4
"420",120.25,29.99,73.75,1.666666667,25,56.06,27,1572,624,2.333333333,1549,5.425,41.9025,50.33333333,56,96,110.36,56,61.96,123,71,"C","N","C","CENTRAL/SOUTH TEXAS AREA","R","WC","U","J","2","29.98999023","1","1",1,"SANAUS512",0.333333333,2759,1039.45,991.54,39.66,1019242,"0",0.89880952375,"None",0.00521910625811727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.318174680867934,2
"422",3.5,5,-2.5,1,0,0,41,1227,1236,0,1196,3.5,8.5,2.333333333,4,4,71.33,3,30.67,3,3,"A","N","T","CHICAGO AREA","N","WC","M","S","1","29.98999023","2","2",1,"MILMIL414",1,2782,754.72,673.85,17.28,1003729,"0",0.58333333325,"Mid-Aged",0.0046374814500742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.407015692108481,3
"451",319,10,-284,2.333333333,13,303.08,17,2379,483,5,2347,0.9,17.035,108.6666667,128.6666667,414,534.67,128,156.47,446,147,"A","N","C","GREAT LAKES AREA","N","WCMB","M","G","1","59.98999023","3","3",1,"NNYBUF716",2.333333333,8020,409.17,212.08,14.14,1060588,"1",0.844559585532497,"Senior",0.00219957474888188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Medium",0.465166263546648,4
"470",30.5,10,-30.5,0.666666667,3,0.98,10,192,53,0,192,5.55,15.7975,2.333333333,6.333333333,41,40.89,22,21.33,33,16,"AA","N","C","ATLANTIC SOUTH AREA","R","WCMB","U","N","2","9.989997864","3","3",1,"AIRSAV912",0.333333333,368,158.13,118.14,13.13,1071508,"1",0.368421052598338,"Young",0.0350977044204136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"Low",0.56811081051252,4
"495",199.25,39.99,-140.25,3,6,12.23,23,3048,681,5.333333333,3048,0,47.49,79.66666667,98.33333333,246,293.41,117,138.55,311,132,"AA","N","R","NORTH FLORIDA AREA","N","WC","B","S","1","29.98999023","2","2",1,"FLNCOC407",1.666666667,6455,863.15,831.15,37.78,1030010,"0",0.810169491586785,"None",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.320356632111911,3
"496",82,44.99,-64,1.666666667,3,63.56,20,1528,72,0.333333333,1506,0,45.3675,25,46.66666667,103,248.63,39,79.26,212,61,"EA","N","C","ATLANTIC SOUTH AREA","N","WCMB","U","N","2","199.9899902","1","2",1,"ATLMAC912",1.666666667,4724,1056.73,989.49,52.08,1039396,"1",0.53571428567602,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"Low",0.309024997413468,2
"509",1.5,44.99,-1.5,0,1,0.85,34,3882,1024,0,3871,0,34.99,0.666666667,1.333333333,2,241,1,117.3,211,88,"A","N","C","GREAT LAKES AREA","N","WC","B","Z","1","29.98999023","1","1",1,"DETDET313",0,7953,1609.37,1574.02,47.7,1010577,"1",0.500000000375,"Mid-Aged",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.414308612760964,2
"542",84.75,19.99,-5.75,0.666666667,12,17.09,11,507,331,2.666666667,500,27.9,51.89,18.33333333,25.33333333,87,126.8,31,50,77,33,"AA","N","T","NORTH FLORIDA AREA","N","WCMB","U","N","1","149.9899902","1","1",1,"FLNCRY352",0.666666667,1268,556.96,476.98,47.7,1076456,"0",0.723684210489958,"None",0.050093363975869,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.298740261779806,2
"565",150.5,30,55.5,1.666666667,8,25.28,19,1763,528,0,1743,0,30.075,41.66666667,56,132,162.17,62,96.83,119,59,"ZA","N","T","SOUTHWEST AREA","R","WCMB","U","G","2","29.98999023","1","1",1,"PHXTUC520",1.666666667,2919,583.8,550.9,30.61,1043941,"0",0.744047619107143,"None",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.367052236678433,2
"578",428.5,39.99,-68.5,3.666666667,4,315.84,10,416,306,1,412,4.9875,35.5225,19.33333333,30,451,476.78,52,45.78,478,51,"AA","N","T","CENTRAL/SOUTH TEXAS AREA","N","WC","U","N","1","29.98999023","1","1",1,"SANSAN210",3,4291,414.88,294.91,32.77,1062435,"0",0.644444444333333,"Young",0.0120215483995372,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Medium",0.298943918619707,2
"626",391.25,54.3425,-45.25,3.666666667,1,19.63,27,2921,345,0,2883,5,71.3825,128.3333333,217.3333333,406,321.72,142,115.32,305,108,"B","N","C","GREAT LAKES AREA","R","WC","M","S","2","9.989997864","1","1",1,"DETROS810",3,8043,1594.95,1542.14,61.69,1012113,"1",0.590490797483204,"Senior",0.00313489451079971,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.387664996967972,2
"640",215.5,10,-50.5,3,6,50.61,23,1676,675,3.666666667,1582,0,10.99,64.33333333,84,232,267.93,88,105.47,312,117,"AA","N","R","GREAT LAKES AREA","N","WCMB","M","U","1","29.98999023","2","2",1,"PITCAR412",3,4019,405.22,370.75,24.72,1031554,"0",0.765873015833333,"Senior",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.319988780806836,3
"668",1491.25,10,-34.25,34,18,194.54,10,5110,117,44.33333333,5077,63.375,77.8225,288,496,1503,1461.56,735,564.11,1705,704,"AA","N","C","NEW ENGLAND AREA","R","WC","U","J","1","9.989997864","2","4",1,"HARHAR860",29.66666667,13154,1002.17,975.84,108.43,1061795,"0",0.580645161290323,"None",0.0632377740303541,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"High",0.316518470379487,3
"682",7.25,0,-6.25,0.333333333,0,0,53,77,1608,0,74,2.5375,2.5375,4,10.66666667,9,8.27,4,4.93,9,5,"A","N","C","SOUTHWEST AREA","N","WC","B","N","1","29.98999023","1","1",1,"NEVSDG619",0.333333333,124,41.05,41.05,2.74,1097862,"0",0.374999999882813,"None",0.0618148599269184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.464538796548661,2
"709",62,30,44,1,1,25.78,48,551,1461,0,549,0.05,37.0225,29.66666667,35.33333333,47,30.6,20,12.2,33,14,"B","N","C","PHILADELPHIA AREA","N","WC","U","U","1","29.98999023","1","1",1,"PHICTR610",1,1377,1689.98,1441.63,32.04,1000337,"0",0.839622641682983,"Senior",2.95861489485083e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.31853293637609,2
"711",272,30,416,3.666666667,19,136.7,34,423,1028,0,402,34,72.9275,33,46.33333333,133,42.52,25,12.97,112,21,"C","N","R","GREAT LAKES AREA","N","WC","U","N","2","29.98999023","1","1",1,"DETANN734",3.333333333,1318,1096.28,1034.61,33.37,1007980,"0",0.712230215878578,"Young",0.0310139745320539,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Medium",0.450997117918466,2
"717",427.25,30,125.75,10,10,116.45,9,1104,262,0,1009,38.9375,69.5175,118.3333333,165.3333333,385,387.57,159,144.14,389,148,"AA","N","C","NORTHWEST/ROCKY MOUNTAIN AREA","N","WCMB","M","N","1","79.98999023","1","3",1,"SEAEVE425",9.333333333,2713,479.18,420.24,60.03,1083318,"0",0.7157258063943,"Senior",0.0812586084561125,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Medium",0.366100956957191,2
"751",362.25,22.3325,79.75,4.666666667,2,112.62,17,3198,518,0,3148,18.5,42.965,92.66666667,102.3333333,336,493.56,136,196.75,404,135,"DA","N","C","LOS ANGELES AREA","R","WC","S","G","2","9.989997864","1","1",1,"LAXANA714",4.666666667,7897,936.66,883.43,55.21,1035850,"1",0.905537459610924,"Young",0.0197510302564431,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Medium",0.551641426703422,2
"785",276.25,50,3.75,14.33333333,6,27.17,27,4491,816,0,4377,0,48.1775,78.33333333,107.6666667,275,815.56,147,273.56,285,150,"A","N","T","HOUSTON AREA","N","WC","U","N","1","29.98999023","1","1",1,"NOLKEN504",12,13049,2120.74,1860,116.25,1011959,"0",0.727554179310355,"Senior",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.328728540907723,2
